,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
954,Business,4002,Vanderbilt University,Michel,,Lapre,2361065,8,good,TEACHER,PROFESSOR,4.9
955,Mathematics,4002,Vanderbilt University,Rolen,,Larry,2408486,4,good,TEACHER,PROFESSOR,4.3
956,Economics,4002,Vanderbilt University,Timothy,,Larsen,2051841,6,good,TEACHER,PROFESSOR,4.8
957,Education,4002,Vanderbilt University,Marrie,,Lasater,1990599,1,good,TEACHER,PROFESSOR,5.0
958,Engineering,4002,Vanderbilt University,Ray,,Lathrop,2013341,1,poor,TEACHER,PROFESSOR,1.5
959,Art History,4002,Vanderbilt University,Riyaz,,Latif,1956900,14,average,TEACHER,PROFESSOR,3.2
960,Physics,4002,Vanderbilt University,Hadley,,Lawler,1474820,44,average,TEACHER,PROFESSOR,2.7
961,Human Development,4002,Vanderbilt University,Todd,,Lawrence,1934777,3,good,TEACHER,PROFESSOR,4.7
962,Management,4002,Vanderbilt University,Michael,,Lawson,1883846,24,good,TEACHER,PROFESSOR,3.8
963,Engineering,4002,Vanderbilt University,Brian,,Lawson,1935141,1,good,TEACHER,PROFESSOR,4.0
964,History,4002,Vanderbilt University,Katherine,,Lazo,2091380,1,poor,TEACHER,PROFESSOR,1.5
965,Science,4002,Vanderbilt University,Alice,,Leach,2548136,2,good,TEACHER,PROFESSOR,5.0
966,Business,4002,Vanderbilt University,Larry,,Leblanc,1826055,1,good,TEACHER,PROFESSOR,3.5
967,Engineering,4002,Vanderbilt University,Eugene,,Leboeuf,127207,15,good,TEACHER,PROFESSOR,4.0
968,Human Development,4002,Vanderbilt University,Daniel,,Lebreton,2251954,11,good,TEACHER,PROFESSOR,4.9
969,Mathematics,4002,Vanderbilt University,Jeremy,,Lecrone,1777569,5,good,TEACHER,PROFESSOR,3.6
970,Management,4002,Vanderbilt University,Patrick,,Leddin,2045482,32,good,TEACHER,PROFESSOR,4.7
971,Business,4002,Vanderbilt University,Jamie,,Leddin,2287105,30,good,TEACHER,PROFESSOR,3.6
972,Computer Science,4002,Vanderbilt University,Akos,,Ledeczi,1047798,22,good,TEACHER,PROFESSOR,4.2
973,Languages,4002,Vanderbilt University,Julian,,Ledford,1382057,6,good,TEACHER,PROFESSOR,4.9
974,Education,4002,Vanderbilt University,Jennifer,,Ledford,2444616,1,good,TEACHER,PROFESSOR,4.0
975,Art History,4002,Vanderbilt University,Mireille,,Lee,1460788,19,good,TEACHER,PROFESSOR,3.5
976,Human Development,4002,Vanderbilt University,Heather,,Lefkowitz,2318261,16,good,TEACHER,PROFESSOR,4.7
977,Languages,4002,Vanderbilt University,Benjamin,,Legg,2301025,5,good,TEACHER,PROFESSOR,4.8
978,Economics,4002,Vanderbilt University,Sebastian,J,Leguizamon,1841964,23,average,TEACHER,PROFESSOR,2.9
979,English,4002,Vanderbilt University,Amanda,,Lehr,2451479,2,good,TEACHER,PROFESSOR,5.0
980,Biology,4002,Vanderbilt University,Allison,,Leich Hilbun,2478102,19,average,TEACHER,PROFESSOR,3.3
981,Economics,4002,Vanderbilt University,Gregory,,Leo,2057273,16,good,TEACHER,PROFESSOR,4.2
982,Computer Science,4002,Vanderbilt University,Matt,,Leon,2520016,1,good,TEACHER,PROFESSOR,5.0
983,Clinical Sciences,4002,Vanderbilt University,Chase,,Lesane-Brown,1320723,14,poor,TEACHER,PROFESSOR,1.8
984,Political Science,4002,Vanderbilt University,Charles,,Lesch,2414213,13,good,TEACHER,PROFESSOR,4.8
985,Mathematics,4002,Vanderbilt University,Sara,,Leshen,2334530,1,good,TEACHER,PROFESSOR,4.0
986,Psychology,4002,Vanderbilt University,Daniel,,Levin,956608,18,average,TEACHER,PROFESSOR,2.8
987,Engineering,4002,Vanderbilt University,Judy,,Lewis,717953,16,good,TEACHER,PROFESSOR,4.1
988,Political Science,4002,Vanderbilt University,David,,Lewis,1485139,24,good,TEACHER,PROFESSOR,4.3
989,Engineering,4002,Vanderbilt University,Dongqing,,Li,815427,4,poor,TEACHER,PROFESSOR,2.4
990,Engineering,4002,Vanderbilt University,Deyu,,Li,978843,3,average,TEACHER,PROFESSOR,3.1
991,Mathematics,4002,Vanderbilt University,Shiying,,Li,2373616,2,average,TEACHER,PROFESSOR,3.0
992,Religion,4002,Vanderbilt University,Paul,,Lim,1583186,1,good,TEACHER,PROFESSOR,4.5
993,Religion,4002,Vanderbilt University,Nancy,,Lin,1989882,2,good,TEACHER,PROFESSOR,4.0
994,Engineering,4002,Vanderbilt University,Shihong,,Lin,2211929,6,good,TEACHER,PROFESSOR,3.5
995,English,4002,Vanderbilt University,Odie,,Lindsey,1969262,8,good,TEACHER,PROFESSOR,4.1
996,Music,4002,Vanderbilt University,stanley,,link,2029037,0,zero,TEACHER,PROFESSOR,N/A
997,Music,4002,Vanderbilt University,Stan,,Link,319490,34,good,TEACHER,PROFESSOR,4.2
998,Political Science,4002,Vanderbilt University,Clifford,,Lippard,1488986,10,good,TEACHER,PROFESSOR,4.7
999,Engineering,4002,Vanderbilt University,Ethan,,Lippmann,2079228,4,good,TEACHER,PROFESSOR,4.7
1000,Chemistry,4002,Vanderbilt University,Adam,,List,195569,103,average,TEACHER,PROFESSOR,3.3
1001,English,4002,Vanderbilt University,Amanda,,Little,2317739,7,good,TEACHER,PROFESSOR,3.5
1002,Languages,4002,Vanderbilt University,Jing,,Liu,1890450,13,good,TEACHER,PROFESSOR,5.0
1003,Languages,4002,Vanderbilt University,Xianmin,,Liu,285405,22,good,TEACHER,PROFESSOR,3.8
1004,Sociology,4002,Vanderbilt University,Richard,,Lloyd,597006,48,average,TEACHER,PROFESSOR,3.3
1005,Biomedical,4002,Vanderbilt University,Andrea,,Locke,2662819,0,zero,TEACHER,PROFESSOR,N/A
1006,Finance,4002,Vanderbilt University,Timothy,,Logan,982297,20,good,TEACHER,PROFESSOR,3.7
1007,Political Science,4002,Vanderbilt University,Farhana,,Loonat,1909226,1,good,TEACHER,PROFESSOR,4.5
1008,English,4002,Vanderbilt University,Lorraine,,López,365792,14,good,TEACHER,PROFESSOR,4.0
1009,Mathematics,4002,Vanderbilt University,Abey,,Lopez,1320332,1,good,TEACHER,PROFESSOR,5.0
1010,Languages,4002,Vanderbilt University,Andrea,,Lopez,2356996,2,average,TEACHER,PROFESSOR,3.0
1011,Languages,4002,Vanderbilt University,Luis,,Lopez Gonzalez,2472387,4,good,TEACHER,PROFESSOR,5.0
1012,Nursing,4002,Vanderbilt University,Melissa,,Lord,1590319,3,good,TEACHER,PROFESSOR,4.0
1013,Languages,4002,Vanderbilt University,Alicia,,Lorenzo-Garcia,1620447,18,good,TEACHER,PROFESSOR,4.2
1014,History,4002,Vanderbilt University,Peter,,Lorge,283299,35,good,TEACHER,PROFESSOR,4.0
1015,Engineering,4002,Vanderbilt University,Daniel,,Loveless,1670226,5,good,TEACHER,PROFESSOR,4.6
1016,Music,4002,Vanderbilt University,Jim,,Lovensheimer,178991,85,good,TEACHER,PROFESSOR,4.5
1017,Chemistry,4002,Vanderbilt University,James,,Lowe,330337,20,average,TEACHER,PROFESSOR,3.3
1018,Not Specified,4002,Vanderbilt University,David,,Lowe,917964,3,good,TEACHER,PROFESSOR,3.8
1019,Chemistry,4002,Vanderbilt University,Jim,,Lowe,1508566,1,poor,TEACHER,PROFESSOR,1.0
1020,Theater,4002,Vanderbilt University,Mary Leah,,Lowe,1635687,8,good,TEACHER,PROFESSOR,4.5
1021,Religion,4002,Vanderbilt University,Bryan,,Lowe,1805324,11,good,TEACHER,PROFESSOR,4.6
1022,Asian Studies,4002,Vanderbilt University,Michiru,,Lowe,1873573,8,good,TEACHER,PROFESSOR,4.7
1023,Music,4002,Vanderbilt University,Melanie,,Lowe,185886,27,good,TEACHER,PROFESSOR,4.5
1024,Engineering,4002,Vanderbilt University,Amanda,,Lowery,1515872,7,average,TEACHER,PROFESSOR,3.4
1025,Philosophy,4002,Vanderbilt University,Alyssa,,Lowery,2106963,5,good,TEACHER,PROFESSOR,4.0
1026,Psychology,4002,Vanderbilt University,David,,Lubinski,958742,5,average,TEACHER,PROFESSOR,2.5
1027,Education,4002,Vanderbilt University,Deb,,Lucas,1825998,2,poor,TEACHER,PROFESSOR,1.2
1028,English,4002,Vanderbilt University,Claudia,,Ludwig,2175768,5,good,TEACHER,PROFESSOR,5.0
1029,Economics,4002,Vanderbilt University,Heather,,Luea,1368759,87,average,TEACHER,PROFESSOR,3.3
1030,Languages,4002,Vanderbilt University,William,,Luis,956582,9,average,TEACHER,PROFESSOR,3.2
1031,Chemistry,4002,Vanderbilt University,Charles,,Lukehart,1319655,14,average,TEACHER,PROFESSOR,2.6
1032,Mathematics,4002,Vanderbilt University,Chenyun,,Luo,2289489,10,good,TEACHER,PROFESSOR,4.1
1033,Political Science,4002,Vanderbilt University,Noam,,Lupu,2372737,7,poor,TEACHER,PROFESSOR,2.3
1034,Political Science,4002,Vanderbilt University,Torben,,Lutjen,2250097,7,good,TEACHER,PROFESSOR,4.7
1035,Science,4002,Vanderbilt University,Terry,,Lybrand,133008,7,good,TEACHER,PROFESSOR,4.5
1036,Philosophy,4002,Vanderbilt University,Chad,,Lykins,850453,2,average,TEACHER,PROFESSOR,3.0
1037,Political Science,4002,Vanderbilt University,Monique,,Lyle,1504425,6,average,TEACHER,PROFESSOR,3.1
1038,Chemistry,4002,Vanderbilt University,Janet,,Macdonald,1964148,7,good,TEACHER,PROFESSOR,3.7
1039,Anthropology,4002,Vanderbilt University,Kenneth,,MacLeish,1801707,12,good,TEACHER,PROFESSOR,4.5
1040,Philosophy,4002,Vanderbilt University,Eric,,MacPhail,2384894,13,poor,TEACHER,PROFESSOR,1.5
1041,English,4002,Vanderbilt University,Rebekah,,Maggor,1493585,4,good,TEACHER,PROFESSOR,4.5
1042,Economics,4002,Vanderbilt University,Noam,,Maggor,1531330,7,good,TEACHER,PROFESSOR,4.7
1043,Physics,4002,Vanderbilt University,Charles,,Maguire,140102,15,average,TEACHER,PROFESSOR,2.6
1044,Engineering,4002,Vanderbilt University,Sankaran,,Mahadevan,2197685,1,poor,TEACHER,PROFESSOR,1.0
1045,Engineering,4002,Vanderbilt University,Anita,,Mahadevan-Jansen,491230,16,good,TEACHER,PROFESSOR,3.7
1046,Psychology,4002,Vanderbilt University,Beverly,,Mahan,607201,4,average,TEACHER,PROFESSOR,2.8
1047,Languages,4002,Vanderbilt University,Adib,,Mahmud,1739160,1,good,TEACHER,PROFESSOR,5.0
1048,Music,4002,Vanderbilt University,James,,Maiello,1220399,5,good,TEACHER,PROFESSOR,4.6
1049,Psychology,4002,Vanderbilt University,Alexander,,Maier,1808280,9,good,TEACHER,PROFESSOR,3.9
1050,Not Specified,4002,Vanderbilt University,Irina,,Makoveeva,1007838,1,good,TEACHER,PROFESSOR,5.0
1051,Education,4002,Vanderbilt University,Rena,,Malkofsky-Berger,1516852,1,good,TEACHER,PROFESSOR,5.0
1052,Political Science,4002,Vanderbilt University,Rodelio,,Manacsa,1007144,12,good,TEACHER,PROFESSOR,4.2
1053,Sociology,4002,Vanderbilt University,Bianca,,Manago,2436035,3,good,TEACHER,PROFESSOR,4.7
1054,Economics,4002,Vanderbilt University,Andrea,,Maneschi,327553,18,average,TEACHER,PROFESSOR,2.9
1055,Engineering,4002,Vanderbilt University,Christina,,Marasco,2287789,5,good,TEACHER,PROFESSOR,4.2
1056,English,4002,Vanderbilt University,Leah,,Marcus,528445,16,good,TEACHER,PROFESSOR,4.1
1057,Economics,4002,Vanderbilt University,Michelle,M.,Marcus,2324247,3,average,TEACHER,PROFESSOR,3.0
1058,Mathematics,4002,Vanderbilt University,Alice,,Mark,2518113,28,poor,TEACHER,PROFESSOR,2.3
1059,Computer Science,4002,Vanderbilt University,Miklos,,Maroti,2300251,2,poor,TEACHER,PROFESSOR,2.0
1060,Mathematics,4002,Vanderbilt University,Emily,,Marshall,1743030,6,good,TEACHER,PROFESSOR,4.9
1061,Political Science,4002,Vanderbilt University,Christopher,,Marsicano,2309178,2,good,TEACHER,PROFESSOR,5.0
1062,Art History,4002,Vanderbilt University,Courtney,,Martin,1668661,4,good,TEACHER,PROFESSOR,4.8
1063,Mathematics,4002,Vanderbilt University,Charles,,Martin,1836806,11,poor,TEACHER,PROFESSOR,1.5
1064,Business,4002,Vanderbilt University,Nina,,Martin,2639570,0,zero,TEACHER,PROFESSOR,N/A
1065,Philosophy,4002,Vanderbilt University,Paulo,,Martinez,1989840,2,good,TEACHER,PROFESSOR,4.8
1066,Human Development,4002,Vanderbilt University,Robert,,Marx,2278308,5,good,TEACHER,PROFESSOR,3.8
1067,Engineering,4002,Vanderbilt University,Lloyd,,Massengill,978293,2,good,TEACHER,PROFESSOR,4.8
1068,Human Development,4002,Vanderbilt University,Carrie,,Masten,1760308,7,average,TEACHER,PROFESSOR,3.3
1069,English,4002,Vanderbilt University,Dean,,Masullo,908044,16,good,TEACHER,PROFESSOR,4.7
1070,History,4002,Vanderbilt University,Deanna,,Matheuszik,1460118,1,poor,TEACHER,PROFESSOR,1.0
1071,Political Science,4002,Vanderbilt University,Michaela,,Mattes,987055,8,good,TEACHER,PROFESSOR,4.5
1072,Psychology,4002,Vanderbilt University,Ashleigh,,Maxcey,2540192,24,average,TEACHER,PROFESSOR,3.0
1073,Political Science,4002,Vanderbilt University,Vaughn,,May,152761,44,good,TEACHER,PROFESSOR,4.7
1074,Political Studies,4002,Vanderbilt University,Harry,,May,1222550,0,zero,TEACHER,PROFESSOR,N/A
1075,Philosophy,4002,Vanderbilt University,Larry,,May,1576993,3,average,TEACHER,PROFESSOR,3.0
1076,Music,4002,Vanderbilt University,Maureen,,May,1779559,1,good,TEACHER,PROFESSOR,5.0
1077,Human Development,4002,Vanderbilt University,Julie,,May,2509159,1,poor,TEACHER,PROFESSOR,1.0
1078,Law,4002,Vanderbilt University,Sara,,Mayeux,2496020,1,good,TEACHER,PROFESSOR,4.0
1079,Philosophy,4002,Vanderbilt University,Seth,,Mayne,1743291,3,poor,TEACHER,PROFESSOR,2.3
1080,Mathematics,4002,Vanderbilt University,Giusy,,Mazzone,2369951,7,average,TEACHER,PROFESSOR,2.5
1081,Languages,4002,Vanderbilt University,Alexis,,McBride,1974872,3,good,TEACHER,PROFESSOR,4.5
1082,Engineering,4002,Vanderbilt University,Clare,,McCabe,1032601,12,average,TEACHER,PROFESSOR,2.9
1083,Sociology,4002,Vanderbilt University,Holly,,McCammon,197217,26,average,TEACHER,PROFESSOR,3.2
1084,Languages,4002,Vanderbilt University,Elliott,,McCarter,2170406,6,good,TEACHER,PROFESSOR,4.8
1085,Languages,4002,Vanderbilt University,John,,McCarthy,1031170,9,average,TEACHER,PROFESSOR,3.0
1086,Psychology,4002,Vanderbilt University,Richard,,McCarty,2023364,10,good,TEACHER,PROFESSOR,4.6
1087,Biology,4002,Vanderbilt University,.,,McCauley,467242,20,good,TEACHER,PROFESSOR,3.8
1088,Physics,4002,Vanderbilt University,Winston,Tyler,McCleery,2436281,5,good,TEACHER,PROFESSOR,4.2
1089,Management,4002,Vanderbilt University,Gary,,McClure,2180968,14,good,TEACHER,PROFESSOR,4.2
1090,Management,4002,Vanderbilt University,Janet,,McDonald,1078827,14,good,TEACHER,PROFESSOR,4.3
1091,Engineering,4002,Vanderbilt University,Mark,,McDonald,1542691,1,good,TEACHER,PROFESSOR,5.0
1092,Sociology,4002,Vanderbilt University,Terence,,McDonnell,1320115,3,good,TEACHER,PROFESSOR,4.5
1093,Psychology,4002,Vanderbilt University,Steve,,McFadyen-Ketchum,909133,22,average,TEACHER,PROFESSOR,2.9
1094,Humanities,4002,Vanderbilt University,James ,M.,McFarland,1935051,7,good,TEACHER,PROFESSOR,4.8
1095,Languages,4002,Vanderbilt University,Meghan,,McGinley,2593026,2,good,TEACHER,PROFESSOR,5.0
1096,Classics,4002,Vanderbilt University,Thomas,,McGinn,495185,26,good,TEACHER,PROFESSOR,3.7
1097,Religion,4002,Vanderbilt University,Richard,,McGregor,326408,16,good,TEACHER,PROFESSOR,4.2
1098,Human Development,4002,Vanderbilt University,Allison,,McGuire,1482880,20,average,TEACHER,PROFESSOR,3.1
1099,Music,4002,Vanderbilt University,Joshua,,McGuire,1727216,6,good,TEACHER,PROFESSOR,4.8
1100,English,4002,Vanderbilt University,Tatiana,,McInnis,1971640,2,good,TEACHER,PROFESSOR,4.5
1101,Philosophy,4002,Vanderbilt University,Russell,,McIntire,127212,13,good,TEACHER,PROFESSOR,4.5
1102,Sociology,4002,Vanderbilt University,Tara,,McKay,2079865,6,good,TEACHER,PROFESSOR,4.2
1103,Mathematics,4002,Vanderbilt University,Ralph,,McKenzie,1296441,2,poor,TEACHER,PROFESSOR,1.0
1104,Women's Studies,4002,Vanderbilt University,Brenda,,McKenzie,2478318,0,zero,TEACHER,PROFESSOR,N/A
1105,Philosophy,4002,Vanderbilt University,Amy,,McKiernan,2101565,3,good,TEACHER,PROFESSOR,4.8
1106,Economics,4002,Vanderbilt University,Kathleen,,McKiernan,2409071,12,average,TEACHER,PROFESSOR,2.9
1107,Neuroscience,4002,Vanderbilt University,BethAnn,,McLaughlin,2389299,0,zero,TEACHER,PROFESSOR,N/A
1108,History,4002,Vanderbilt University,Tyler,,McLean,2287885,0,zero,TEACHER,PROFESSOR,N/A
1109,Education,4002,Vanderbilt University,Michael,,McLendon,535157,14,good,TEACHER,PROFESSOR,4.4
1110,Biology,4002,Vanderbilt University,Douglas,,McMahon,1496256,3,good,TEACHER,PROFESSOR,3.8
1111,Psychology,4002,Vanderbilt University,Timothy,,McNamara,196199,29,good,TEACHER,PROFESSOR,3.6
1112,Religion,4002,Vanderbilt University,Adeana,,McNicholl,2586841,6,good,TEACHER,PROFESSOR,5.0
1113,Mathematics,4002,Vanderbilt University,Robert,,McRae,2252042,15,average,TEACHER,PROFESSOR,2.5
1114,Education,4002,Vanderbilt University,Catherine,,McTamaney,910593,45,good,TEACHER,PROFESSOR,3.8
1115,English,4002,Vanderbilt University,Elizabeth,,Meadows,1201824,6,good,TEACHER,PROFESSOR,3.9
1116,Philosophy,4002,Vanderbilt University,Jose,,Medina,351786,17,good,TEACHER,PROFESSOR,4.2
1117,International Studies,4002,Vanderbilt University,Jimmy,Jose,Medina,1960320,3,good,TEACHER,PROFESSOR,3.8
1118,Mathematics,4002,Vanderbilt University,Ivan,,Medri,2588431,9,poor,TEACHER,PROFESSOR,2.4
1119,Chemistry,4002,Vanderbilt University,Jens,,Meiler,1999746,4,average,TEACHER,PROFESSOR,3.1
1120,English,4002,Vanderbilt University,Kirsten,,Mendoza,1976844,5,good,TEACHER,PROFESSOR,5.0
1121,Languages,4002,Vanderbilt University,Clara,,Mengolini,1891064,3,good,TEACHER,PROFESSOR,4.8
1122,English,4002,Vanderbilt University,Jeff,,Menne,484648,10,average,TEACHER,PROFESSOR,3.2
1123,English,4002,Vanderbilt University,Lucy,K,Mensah,1875448,1,good,TEACHER,PROFESSOR,5.0
1124,Political Science,4002,Vanderbilt University,Clive,,Mentzel,1908742,4,good,TEACHER,PROFESSOR,4.3
1125,Languages,4002,Vanderbilt University,Elsa,,Mercado,2345833,2,good,TEACHER,PROFESSOR,4.5
1126,Engineering,4002,Vanderbilt University,David,,Merryman,1378758,14,good,TEACHER,PROFESSOR,4.1
1127,Engineering,4002,Vanderbilt University,Diego,A,Mesa,2574381,1,poor,TEACHER,PROFESSOR,1.0
1128,Computer Science,4002,Vanderbilt University,Diego,,Mesa,2579171,15,good,TEACHER,PROFESSOR,3.7
1129,Languages,4002,Vanderbilt University,Caterina,,Messina,2053716,4,good,TEACHER,PROFESSOR,4.8
1130,Music,4002,Vanderbilt University,Sasha,,Metcalf,2176769,2,good,TEACHER,PROFESSOR,4.5
1131,Law,4002,Vanderbilt University,Timothy,L,Meyer,2499757,1,average,TEACHER,PROFESSOR,3.0
1132,Jewish Studies,4002,Vanderbilt University,Adam,,Meyer,1099509,32,good,TEACHER,PROFESSOR,4.8
1133,Political Science,4002,Vanderbilt University,Kristin,,Michelitch,1847010,6,good,TEACHER,PROFESSOR,4.0
1134,Divinity,4002,Vanderbilt University,David,,Michelson,1930529,3,good,TEACHER,PROFESSOR,3.7
1135,Engineering,4002,Vanderbilt University,Mike,,Miga,142773,13,good,TEACHER,PROFESSOR,3.5
1136,Philosophy,4002,Vanderbilt University,Darla,,Migan,1948563,1,poor,TEACHER,PROFESSOR,1.0
1137,Mathematics,4002,Vanderbilt University,Mike,,Mihalik,1321264,18,good,TEACHER,PROFESSOR,4.5
1138,English,4002,Vanderbilt University,Marzia,,Milazzo,1912276,8,good,TEACHER,PROFESSOR,4.3
1139,Art History,4002,Vanderbilt University,Tracy,,Miller,140779,22,good,TEACHER,PROFESSOR,4.1
1140,Languages,4002,Vanderbilt University,Paul,,Miller,203007,9,good,TEACHER,PROFESSOR,4.2
1141,Geology,4002,Vanderbilt University,Molly,,Miller,453672,25,average,TEACHER,PROFESSOR,3.0
1142,English,4002,Vanderbilt University,Adam,,Miller,1693640,7,good,TEACHER,PROFESSOR,3.6
1143,Nursing,4002,Vanderbilt University,Anne,,Miller,1736343,1,poor,TEACHER,PROFESSOR,1.0
1144,Education,4002,Vanderbilt University,Rich,,Milner,346830,9,good,TEACHER,PROFESSOR,4.3
1145,Mathematics,4002,Vanderbilt University,Baili,,Min,1657546,4,good,TEACHER,PROFESSOR,3.6
1146,English,4002,Vanderbilt University,Megan,,Minarich,1228327,10,good,TEACHER,PROFESSOR,4.3
1147,Languages,4002,Vanderbilt University,Andrea,,Mirabile,1515096,13,good,TEACHER,PROFESSOR,4.3
1148,Mathematics,4002,Vanderbilt University,Mozghan,,Mirani,275820,20,poor,TEACHER,PROFESSOR,1.9
1149,Languages,4002,Vanderbilt University,Francesca,,Mirti,1655787,2,poor,TEACHER,PROFESSOR,1.8
1150,Languages,4002,Vanderbilt University,Vanessa,,Miseres,984989,4,good,TEACHER,PROFESSOR,4.4
1151,Education,4002,Vanderbilt University,Brian,,Mitchell,1220325,1,good,TEACHER,PROFESSOR,4.5
1152,Anthropology,4002,Vanderbilt University,Sea,,Mitchell,1308209,5,good,TEACHER,PROFESSOR,3.7
1153,English,4002,Vanderbilt University,Lauren,,Mitchell,2362695,1,good,TEACHER,PROFESSOR,5.0
1154,Political Science,4002,Vanderbilt University,Cecilia,H,MO,1811295,5,good,TEACHER,PROFESSOR,4.0
1155,Fine Arts,4002,Vanderbilt University,Robert,,Mode,141557,19,average,TEACHER,PROFESSOR,3.1
1156,Languages,4002,Vanderbilt University,Letizia,,Modena,2420942,2,good,TEACHER,PROFESSOR,5.0
1157,History,4002,Vanderbilt University,Catherine,,Molineux,1671109,10,good,TEACHER,PROFESSOR,3.5
1158,Economics,4002,Vanderbilt University,Alejandro,,Molnar,1877615,26,poor,TEACHER,PROFESSOR,2.2
1159,History,4002,Vanderbilt University,Ole,,Molvig,1344101,15,good,TEACHER,PROFESSOR,4.3
1160,Human Development,4002,Vanderbilt University,Torin,,Monahan,1668330,1,good,TEACHER,PROFESSOR,4.0
1161,Health Science,4002,Vanderbilt University,Abelardo,C,Moncayo,1892042,7,good,TEACHER,PROFESSOR,4.3
1162,African-American Studies,4002,Vanderbilt University,Alicia,,Monroe,2154155,2,average,TEACHER,PROFESSOR,3.0
1163,English,4002,Vanderbilt University,Jesse,,Montgomery,2127938,5,good,TEACHER,PROFESSOR,4.8
1164,Mathematics,4002,Vanderbilt University,Michael,,Montgomery,2557935,9,poor,TEACHER,PROFESSOR,2.4
1165,Art History,4002,Vanderbilt University,Elizabeth,,Moodey,917968,24,good,TEACHER,PROFESSOR,3.7
1166,Law,4002,Vanderbilt University,Caitlin,Noe,Moon,2311736,1,good,TEACHER,PROFESSOR,4.0
1167,Geology,4002,Vanderbilt University,Kinzly,,Moore,148249,27,good,TEACHER,PROFESSOR,4.0
1168,Mathematics,4002,Vanderbilt University,Keith,,Moore,560204,0,zero,TEACHER,PROFESSOR,N/A
1169,Mathematics,4002,Vanderbilt University,Matthew,,Moore,1849016,15,good,TEACHER,PROFESSOR,4.4
1170,English,4002,Vanderbilt University,Roger,,Moore,211739,29,good,TEACHER,PROFESSOR,4.5
1171,Languages,4002,Vanderbilt University,David,,Mora,1395703,10,good,TEACHER,PROFESSOR,4.3
1172,Languages,4002,Vanderbilt University,Elvira,Aballi,Morell,2454359,6,good,TEACHER,PROFESSOR,4.8
1173,Geomorphology & Geochronology,4002,Vanderbilt University,Daniel,,Morgan,1336670,25,good,TEACHER,PROFESSOR,4.3
1174,Economics,4002,Vanderbilt University,Andrea,,Moro,1249160,7,good,TEACHER,PROFESSOR,3.5
1175,English,4002,Vanderbilt University,John,,Morrell,1184380,8,good,TEACHER,PROFESSOR,4.4
1176,Computer Science,4002,Vanderbilt University,Tiger,,Mou,2515448,1,good,TEACHER,PROFESSOR,5.0
1177,Theater,4002,Vanderbilt University,Stephen,A.,Moulds,2176026,1,good,TEACHER,PROFESSOR,5.0
1178,Sociology,4002,Vanderbilt University,Christine,,Mowery,826816,0,zero,TEACHER,PROFESSOR,N/A
1179,Finance,4002,Vanderbilt University,Brendan,,Moynihan,1961805,5,poor,TEACHER,PROFESSOR,1.1
1180,Human Development,4002,Vanderbilt University,Courtney,,Mullane,2384513,4,good,TEACHER,PROFESSOR,4.8
1181,Theater,4002,Vanderbilt University,David,,Muller,1190904,11,good,TEACHER,PROFESSOR,4.1
1182,Languages,4002,Vanderbilt University,Berna,,Muñoz,2175364,2,good,TEACHER,PROFESSOR,5.0
1183,Fine Arts,4002,Vanderbilt University,Marilyn,,Murphy,451931,11,good,TEACHER,PROFESSOR,4.4
1184,Human Development,4002,Vanderbilt University,Joseph,,Murphy,1853187,6,good,TEACHER,PROFESSOR,4.8
1185,Art History,4002,Vanderbilt University,Kevin,,Murphy,1998294,7,average,TEACHER,PROFESSOR,3.4
1186,Languages,4002,Vanderbilt University,Patrick,,Murphy,741988,57,good,TEACHER,PROFESSOR,4.9
1187,Law,4002,Vanderbilt University,Kelly,,Murray,910317,1,poor,TEACHER,PROFESSOR,1.0
1188,Languages,4002,Vanderbilt University,Michelle,,Murray,1973004,5,good,TEACHER,PROFESSOR,4.8
1189,International Studies,4002,Vanderbilt University,Neica,Michelle,Murray,2356218,2,good,TEACHER,PROFESSOR,5.0
1190,Sociology,4002,Vanderbilt University,Joshua,,Murray,1911826,15,good,TEACHER,PROFESSOR,4.0
1191,Human Development,4002,Vanderbilt University,Velma,,Murry,1860486,3,poor,TEACHER,PROFESSOR,1.7
1192,Sociology,4002,Vanderbilt University,Courtney,,Muse,1195476,22,good,TEACHER,PROFESSOR,3.8
1193,Engineering,4002,Vanderbilt University,Michael,,Myers,2064089,27,good,TEACHER,PROFESSOR,3.7
1194,Health Science,4002,Vanderbilt University,Hector,,Myers,1892035,8,average,TEACHER,PROFESSOR,2.8
1195,Political Science,4002,Vanderbilt University,Emily,,Nacol,1347834,18,good,TEACHER,PROFESSOR,4.7
1196,Management,4002,Vanderbilt University,Thomas,,Nagle,1340918,9,good,TEACHER,PROFESSOR,3.7
1197,Management,4002,Vanderbilt University,Linda,,Nagle,1782376,0,zero,TEACHER,PROFESSOR,N/A
1198,Languages,4002,Vanderbilt University,Keiko,,Nakajima,354528,12,good,TEACHER,PROFESSOR,4.3
1199,Languages,4002,Vanderbilt University,Asami,,Nakano,2416807,1,good,TEACHER,PROFESSOR,5.0
1200,Psychology,4002,Vanderbilt University,Gayathri,,Narasimham,881194,20,average,TEACHER,PROFESSOR,3.0
1201,Mechanical Engineering,4002,Vanderbilt University,Ahad,,Nasab,1241313,10,good,TEACHER,PROFESSOR,4.4
1202,Psychology,4002,Vanderbilt University,Maury,,Nation,598006,3,good,TEACHER,PROFESSOR,4.2
